"","baker.season.episode","X","baker","signature","technical.rank","showstopper","episode","signatuare.name","technical.name","showstopper.name","season","result","status"
"13","Alice_10_8",657,"Alice","Leek, Apple & Goat's Cheese Tarte Tatin","3rd","Apple Tree House Pie",8,"Savoury Tarte Tatin ","Moroccan Pie ","Vertical Pie ",10,"",""
"14","Alice_10_9",662,"Alice","Mocha, Hazelnut & Orange Domed Tarts","4th","Save Our Oceans",9,"8 Domed Tarts ","Gâteau Saint Honoré ","Sugar Glass Display Case ",10,"SB",""
"15","Alvin_6_1",288,"Alvin","Orange Vanilla and Fig Madeira Cake","2nd","Black Forest Gâteau",1,"Madeira Cake ","Frosted Walnut Layer Cake ","Black Forest Gâteau ",6,"",""
"16","Alvin_6_2",300,"Alvin","Jackfruit, Pistachio and Macadamia Biscotti","6th","Gingerbread Box filled with Brandy Snaps",2,"24 Biscotti ","8 Arlettes ","36 Biscuits and an Edible Biscuit Box ",6,"",""
"17","Alvin_6_3",311,"Alvin","Prosciutto, Manchego and Balsamic Onion Soda Breads","4th","Cornucopia",3,"2 Quick Breads ","4 Baguettes ","3D Bread Sculpture ",6,"","Favorite"
"18","Alvin_6_4",321,"Alvin","Blackberry Crème Brûlées","9th","Tower of Fruits Cheesecakes",4,"12 Crème Brûlées ","Spanische Windtorte ","Three Tiered Cheesecake ",6,"","Least Favorite"
"19","Alvin_6_5",330,"Alvin","Pineapple Upside Down Cake","8th","Buko Pandan, Mango and Passion Fruit Ice Cream Roll",5,"Sugar Free Cake ","12 Gluten Free Pita Bread ","Dairy Free Ice Cream Roll ",6,"",""
"20","Alvin_6_6",338,"Alvin","Plum Frangipane Tart","6th","Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents",6,"Frangipane tart ","12 Flaounes ","48 Vol au vents ",6,"OUT",""
"21","Amanda_12_1",744,"Amanda","'Cherry Soldier' Mini Rolls","12th","Elderflower & Lemon Surf Explosion",1,"Mini Swiss Roll ","Malt Loaf ","Anti Gravity Illusion Cake ",12,"","Least Favorite"
"22","Amanda_12_2",756,"Amanda","'Open Sesame' Brandy Snaps","4th","Carousel Rocking Horse",2,"24 Brandy Snaps ","Sandwiched Jammy Biscuit ","3 D Childhood Toy ",12,"","Least Favorite"
"23","Amanda_12_3",767,"Amanda","'Chasing Grainbows' Focaccia","3rd","'I Just FISH We Had More'",3,"Focaccia ","15 Cheese and Onion Ciabatta Breadsticks ","Themed Milk Bread Display ",12,"",""
"24","Amanda_12_4",777,"Amanda","'Chocolate Pav-Love'","8th","'Adam's Temptation' Imprime Dessert",4,"Pavlova ","4 Sticky Toffee Pudding ","Joconde Imprime Dessert ",12,"","Least Favorite"
"25","Amanda_12_5",786,"Amanda","Spritzgebäck & Glühweinplätzchen","8th","Rum. Plum & Raisin Cake",5,"24 German Biscuits ","Prinzregententorte ","Yeast Leavened Cake ",12,"",""
"26","Amanda_12_6",794,"Amanda","Sweet & Savoury Chouxnuts","5th","'Fancy Terrine Pie'",6," Chouxnuts ","Large Baklava ","Terrine pie ",12,"OUT",""
"27","Amelia_10_1",590,"Amelia","Christmas Cake","4th","Carousel Birthday Cake",1,"Fruit Cake ","6 Angel Cake Slices ","Birthday Cake ",10,"",""
"28","Amelia_10_2",603,"Amelia","Pistachio, Almond & Raisin Nougat Biscuit Bars","9th","Swimming with Dolphins",2,"12 Decorated Chocolate Biscuit Bars ","12 Fig Rolls ","3D Biscuit Sculpture ",10,"","Least Favorite"
"29","Amelia_10_3",615,"Amelia","Chorizo Brunch Tear & Share","11th","Caterpillar Transformation",3,"Tear   Share Loaf ","8 White Burger Baps   4 Veggie Burgers ","Decorative Loaf Display ",10,"OUT",""
"30","Andrew_7_1",363,"Andrew","Lemon and Rosemary Drizzle Cake","12th","'Ultimate Indulgence' Mirror Glaze Cake",1,"Drizzle Cake ","12 Jaffa Cakes ","Mirror Glaze Cake ",7,"",""
"31","Andrew_7_10",435,"Andrew","Crunchy Caramel Cassis Crown","1st","Family and Friends' Favourites Picnic",10,"Meringue Crowns ","Victoria Sandwich with No Recipe ","Picnics ",7,"Runner-up",""
"32","Andrew_7_2",375,"Andrew","Beehive Biscuits","4th","Punting in Cambridge",2,"24 Iced Biscuits ","12 Viennese Whirls ","Gingerbread 3D Scene ",7,"","Favorite"
"33","Andrew_7_3",386,"Andrew","Chocolate Barmbrack Bread","2nd","Braided Harvest Bread Basket",3,"Chocolate Loaf ","Dampfnudel ","Savoury Plaited  Braided  Centrepiece ",7,"","Favorite"
"34","Andrew_7_4",396,"Andrew","Yorkshire 'Tapas' Puddings","4th","Churros Window Box",4,"Filled Yorkshire Puddings ","12 Heart Shaped Lace Pancakes ","36 Churros ",7,"","Favorite"
"35","Andrew_7_5",405,"Andrew","Mum and Dad's Breakfast Pastries","6th","Spicy Chorizo Squash Parcels and Baklava Bites",5,"24 Breakfast Pastries ","Bakewell Tart ","48 Filo Amuse Bouche ",7,"",""
"36","Andrew_7_6",413,"Andrew","Tangy Lime and Ginger Meringue Pie","6th","Spring Elderflower Trio",6,"Citrus Meringue Pie ","2 Herb Fougasse ","Three Tier Flower Cake ",7,"","Least Favorite"
"37","Andrew_7_7",420,"Andrew","Tropical Holiday Roulade","1st","Childhood Ice Cream Mousse Cakes",7,"Family Sized Roulade ","Marjolaine Dacquoise ","24 Mini Mousse Cakes ",7,"SB",""
"38","Andrew_7_8",426,"Andrew","Da Vinci Inspired Geared Pies","2nd","Jousting Knights Marchpane",8,"Shaped Savoury Pies ","12 Jumbles ","3D Marchpane Cake ",7,"",""
"39","Andrew_7_9",431,"Andrew","Cheesy Elephant Ears and Herby Treble Clefs","2nd","Philharmonic Fondants",9,"24 Savoury Palmiers ","Savarin ","36 Fondant Fancies ",7,"SB",""
"40","Antony_9_1",513,"Antony","Turmeric and Caraway Goosnargh Cakes","12th","""Kilimanjaro Selfie""",1,"24 Regional Biscuits ","8 Wagon Wheels ","3D Biscuit Self Portrait ",9,"",""
"41","Antony_9_2",525,"Antony","Cardamom and Coconut Burfi Traybake","9th","Pistachio, Saffron and Rose Cake",2,"16 Traybakes ","Le Gâteau Vert ","Chocolate Collar Cake ",9,"",""
"42","Antony_9_3",536,"Antony","Decadent Breakfast Chelsea Buns","8th","Chocolate and Orange Adventure Korovai",3,"12 Chelsea Buns ","8 Non Yeasted Garlic Naan Breads ","Korovai ",9,"OUT",""
"43","Beca_4_1",138,"Beca","Grapefruit Sandwich Cake","8th","Chocolate Cherry Indulgence",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ",4,"",""
"44","Beca_4_2",151,"Beca","Fennel and Chilli Breadsticks","11th","Five Strand Christmas Wreath",2,"36 Bread Sticks ","8 English Muffins ","Decorative Loaf ",4,"","Least Favorite"
"45","Beca_4_3",163,"Beca","Orange and Ginger Trifle","10th","Limoncello and Blueberry BurstsMillionaires' Shortbread",3,"Trifle ","Floating Islands ","24 Petit Fours  12 Biscuit based  12 Sponge based ",4,"",""
"46","Beca_4_4",174,"Beca","Mamgu's Cherry-Apple Tart (Rhubarb Pie)","2nd","Moroccan Vegetable Filo Feast",4,"Double Crusted Fruit Pie ","12 Egg Custard Tarts ","Filo Pie ",4,"",""
"47","Beca_4_5",182,"Beca","Chocolate, Cherry and Hazelnut Brownies","5th","Tiered Macaron and Sugar Dough Biscuit Centrepiece",5,"Traybake ","18 Tuiles  9 Original  9 Dipped in Chocolate ","Biscuit Tower ",4,"",""
"48","Beca_4_6",190,"Beca","Bara Brith","6th","Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns",6,"Tea Loaf ","Apricot Couronne ","24 Sweet European Buns ",4,"",""
"49","Beca_4_7",197,"Beca","Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy","1st","Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille",7,"Suet Pudding ","8 Religieuses ","36 sweet puff pastries  12 Filled  12 Iced  12 of Their Own Choice ",4,"","Favorite"
"50","Beca_4_8",203,"Beca","Potato, Spelt and Rosemary Focaccia","4th","Spiced Butternut Squash and Pecan 'Cheese' Cake",8,"Wheat Free Loaf ","Hazelnut Dacquoise ","Dairy Free Vegetable Cake ",4,"","Least Favorite"
"51","Beca_4_9",208,"Beca","Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets","3rd","Banoffee Opera Cake",9,"36 Canapés  12 Choux  12 Shortcrust Rough Puff  12 Any of their Choice ","Charlotte Royale ","Opera Cake ",4,"OUT",""
"52","Ben_2_1",1,"Ben","Rhubarb and Custard CupcakesAfter Dinner Cupcakes","2nd","Vanilla Sponge with White Chocolate and Raspberry Buttercream",1,"24 Cupcakes ","Coffee and Walnut Battenberg ","Chocolate Tiered Cake ",2,"",""
"53","Ben_2_2",13,"Ben","Chorizo, Pepper and Gruyere Quiche","1st","Lemon Meringue Tarts",2,"Quiche ","Tarte au Citron ","24 Miniature Sweet Tarts ",2,"",""
"54","Ben_2_3",24,"Ben","Walnut, Raisin and Rosemary Loaf","3rd","",3,"Free Form Loaf ","Focaccia ","12 sweet and 12 savoury rolls ",2,"",""
"55","Ben_2_4",34,"Ben","Stem Ginger Nuts","5th","Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons",4,"12 Biscuits ","24 Brandy Snaps ","Macarons ",2,"OUT",""
"56","Benjamina_7_1",364,"Benjamina","Pistachio, Cardamom and Lemon Drizzle Cake","6th","White Chocolate Mirror Glaze with Salted Praline Buttercream",1,"Drizzle Cake ","12 Jaffa Cakes ","Mirror Glaze Cake ",7,"","Favorite"
"57","Benjamina_7_2",376,"Benjamina","Bouquet Biscuits","3rd","New York, New York",2,"24 Iced Biscuits ","12 Viennese Whirls ","Gingerbread 3D Scene ",7,"",""
"58","Benjamina_7_3",387,"Benjamina","Chocolate, Tahini and Almond Babka","6th","Braided Bread Heart",3,"Chocolate Loaf ","Dampfnudel ","Savoury Plaited  Braided  Centrepiece ",7,"",""
"59","Benjamina_7_4",397,"Benjamina","Red Onion Chutney, Brie and Bacon Yorkshire Puddings","1st","Tropical Churros",4,"Filled Yorkshire Puddings ","12 Heart Shaped Lace Pancakes ","36 Churros ",7,"SB",""
"60","Benjamina_7_5",406,"Benjamina","'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels","5th","Plantain and Spinach Samosas and Chai Pear Cups",5,"24 Breakfast Pastries ","Bakewell Tart ","48 Filo Amuse Bouche ",7,"",""
"61","Benjamina_7_6",414,"Benjamina","Grapefruit and Ginger Meringue Pie","2nd","Floral Tea Cake",6,"Citrus Meringue Pie ","2 Herb Fougasse ","Three Tier Flower Cake ",7,"",""
"62","Benjamina_7_7",421,"Benjamina","Piña Colada Roulade","3rd","Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake",7,"Family Sized Roulade ","Marjolaine Dacquoise ","24 Mini Mousse Cakes ",7,"","Favorite"
"63","Benjamina_7_8",427,"Benjamina","Mexican Adventure","4th","Tudor Garden",8,"Shaped Savoury Pies ","12 Jumbles ","3D Marchpane Cake ",7,"OUT",""
"64","Brendan_3_1",61,"Brendan","Plum, Sour Cherry & Walnut Upside Down Cake","10th","St. Patrick's Day Cake with Hidden Irish Flag[12]",1,"Upside Down Cake ","4 Rum Babas ","Hidden Design Cake ",3,"",""
"65","Brendan_3_10",134,"Brendan","Potato and Pepper Pithivier","2nd","Family Reunion Chiffon Cake",10,"Pithivier ","25 Fondant Fancies ","Chiffon Cake ",3,"Runner-up",""
"66","Brendan_3_2",73,"Brendan","Middle Eastern Taboon BreadIndian Roti","4th","Chocolate and Vanilla Bagels; Cumin and Gruyere Bagels",2,"2 Flatbreads  6 Leavened and 6 Unleavened ","Eight Stranded Plaited Loaf ","4 Bagels  12 Sweet and 12 Savoury ",3,"","Favorite"
"67","Brendan_3_3",84,"Brendan","Apple and Ginger Tarte Tatin","9th","Blackberry, Nectarine and Dragon Fruit Tart",3,"Tarte Tatin ","Treacle Tart ","Designer Fruit Tart ",3,"","Least Favorite"
"68","Brendan_3_4",94,"Brendan","Clementine and Chestnut Torte","1st","Pear, Chocolate and Hazelnut Dacquoise",4,"Torte Cake ","Crème Caramel ","4 Layered Meringue Dessert ",3,"SB",""
"69","Brendan_3_5",103,"Brendan","Salmon Coulibiac in a Scandinavian Pastry","3rd","All American Chiffon Pie",5,"Wellington ","Hand Raised Pie ","American Pie ",3,"","Favorite"
"70","Brendan_3_6",111,"Brendan","Rhubarb, Strawberry and Ginger PuddingsSticky Toffee Puddings","1st","Spinach, Cheese and Walnut Strudel",6,"2 Different Flavours of Sponge Puddings ","Queen of Puddings ","Strudels ",3,"SB",""
"71","Brendan_3_7",118,"Brendan","Chelsea Bunskis","4th","Black Forest Christmas Stollen",7,"24 Sweet Buns ","Jam Doughnut ","Celebratory Loaf ",3,"","Favorite"
"72","Brendan_3_8",125,"Brendan","Multi-Seed Savoury Crackers","2nd","Fantasy Gingerbread Bird House",8,"48 Crackers ","6 Chocolate Teacakes ","Gingerbread Structure ",3,"",""
"73","Brendan_3_9",130,"Brendan","Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets","3rd","Gateau St. Honoré",9,"3 types of Petits Fours ","Fraisier Cake ","Choux Pastry Gateau ",3,"","Favorite"
"74","Briony_9_1",514,"Briony","Apple Cider Empire Biscuits","2nd","""Bristol Biscuit Selfie""",1,"24 Regional Biscuits ","8 Wagon Wheels ","3D Biscuit Self Portrait ",9,"","Favorite"
"75","Briony_9_2",526,"Briony","Turron and Orange Traybake","5th","Chocolate Fudge and Salted Caramel Creation",2,"16 Traybakes ","Le Gâteau Vert ","Chocolate Collar Cake ",9,"","Least Favorite"
"76","Briony_9_3",537,"Briony","Balsamic Strawberry Chelsea Buns","9th","Happily Ever After Korovai",3,"12 Chelsea Buns ","8 Non Yeasted Garlic Naan Breads ","Korovai ",9,"","Least Favorite"
"77","Briony_9_4",546,"Briony","Treacle Tart Roulade","5th","Blood Orange & Amaretto Sticky Toffee Sphere",4,"Meringue Roulade ","Raspberry Blancmange with 12 Langues du Chat biscuits ","Melting Chocolate Ball Dessert ",9,"","Least Favorite"
"78","Briony_9_5",555,"Briony","Honey and Apricot Ginger Cake","6th","Turmeric Latte Chandelier",5,"Ginger Cake ","12 Ma amoul ","Spiced Biscuit Chandelier ",9,"","Least Favorite"
"79","Briony_9_6",564,"Briony","Home Comforts","1st","""Down the Rabbit Hole"" Banquet Pie",6,"12 Samosas ","6 Puits D amour ","Shaped Banquet Pie ",9,"SB",""
"80","Briony_9_7",571,"Briony","French Onion Tartlets and Celeriac & Apple Tartlets","5th","Hazelnut Mocha Cake",7,"8 Savoury Vegan Tartlets ","Vegan Tropical Fruit Pavlova ","Vegan Celebratory Cake ",9,"",""
"81","Briony_9_8",577,"Briony","Spanish & West Country Smørrebrød","1st","Nana Pat Kagekone",8,"2 Smørrebrød ","14 Æbleskiver ","Kagemand Kagekone ",9,"","Favorite"
"82","Briony_9_9",582,"Briony","Mojito Madeleines
Espresso Martini Madeleines","3rd","British Tea to French Pâtisserie Window",9,"24 Madeleines ","Torta Setteveli ","Parisian Pâtisserie Window ",9,"OUT",""
"83","Candice_7_1",365,"Candice","Raspberry and Rhubarb Drizzle Custard Bundt Cake","5th","Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",1,"Drizzle Cake ","12 Jaffa Cakes ","Mirror Glaze Cake ",7,"","Least Favorite"
"84","Candice_7_10",436,"Candice","Queen Victoria's Mango and Strawberry Crown","2nd","Picnic for Pearly Kings and Queens",10,"Meringue Crowns ","Victoria Sandwich with No Recipe ","Picnics ",7,"WINNER",""
"85","Candice_7_2",377,"Candice","Salted Caramel, Chocolate Iced Shiny Hearts","8th","Gingerbread Pub with Sticky Ginger Carpet",2,"24 Iced Biscuits ","12 Viennese Whirls ","Gingerbread 3D Scene ",7,"SB",""
"86","Candice_7_3",388,"Candice","Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf","3rd","Italian Light and Dark Rye Twist",3,"Chocolate Loaf ","Dampfnudel ","Savoury Plaited  Braided  Centrepiece ",7,"","Least Favorite"
"87","Candice_7_4",398,"Candice","Yorkshire Wellingtons","2nd","Two-Way Peanut Butter Churros",4,"Filled Yorkshire Puddings ","12 Heart Shaped Lace Pancakes ","36 Churros ",7,"",""
"88","Candice_7_5",407,"Candice","Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","2nd","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",5,"24 Breakfast Pastries ","Bakewell Tart ","48 Filo Amuse Bouche ",7,"SB",""
"89","Candice_7_6",415,"Candice","Lime, Coconut and Lemongrass Sugar Meringue Pie","5th","Four Seasons Cake",6,"Citrus Meringue Pie ","2 Herb Fougasse ","Three Tier Flower Cake ",7,"","Favorite"
"90","Candice_7_7",422,"Candice","Crowd Pleaser Roulade","2nd","Blackberry and Raspberry Bubbles and After Dinner Mousse",7,"Family Sized Roulade ","Marjolaine Dacquoise ","24 Mini Mousse Cakes ",7,"",""
"91","Candice_7_8",428,"Candice","Cheesy Cheeky Fish Pies","1st","Peacock",8,"Shaped Savoury Pies ","12 Jumbles ","3D Marchpane Cake ",7,"SB",""
"92","Candice_7_9",432,"Candice","Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers","3rd","Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies",9,"24 Savoury Palmiers ","Savarin ","36 Fondant Fancies ",7,"","Favorite"
"93","Cathryn_3_1",62,"Cathryn","Apple, Hazelnut and Calvados Upside Down Cake","5th","Hidden Cupcake Cake",1,"Upside Down Cake ","4 Rum Babas ","Hidden Design Cake ",3,"","Favorite"
"94","Cathryn_3_2",74,"Cathryn","Spiced Mango NaanLime, Coriander and Chilli Tortillas","8th","Cranberry and Orange Bagels; Chipotle, Chilli, and Smoked Cheddar Bagels",2,"2 Flatbreads  6 Leavened and 6 Unleavened ","Eight Stranded Plaited Loaf ","4 Bagels  12 Sweet and 12 Savoury ",3,"",""
"95","Cathryn_3_3",85,"Cathryn","Plum, Cherry and Five Spice Tarte Tatin","3rd","Raspberry, Pistachio and Lemon Tart",3,"Tarte Tatin ","Treacle Tart ","Designer Fruit Tart ",3,"",""
"96","Cathryn_3_4",95,"Cathryn","White Chocolate, Macadamia and Coffee Torte","3rd","Gooseberry, Almond and Honey Meringue",4,"Torte Cake ","Crème Caramel ","4 Layered Meringue Dessert ",3,"",""
"97","Cathryn_3_5",104,"Cathryn","Full English Wellington","1st","Chocolate and Peanut Butter Pumpkin Pie",5,"Wellington ","Hand Raised Pie ","American Pie ",3,"",""
"98","Cathryn_3_6",112,"Cathryn","Chocolate Walnut Whip PuddingsElderflower Sponges","3rd","Roasted Vegetable, Couscous and Sheep Cheese Strudel",6,"2 Different Flavours of Sponge Puddings ","Queen of Puddings ","Strudels ",3,"",""
"99","Cathryn_3_7",119,"Cathryn","Lady Arundel's Manchet Buns","5th","Bonfire Night Tear 'N' Share Brioche",7,"24 Sweet Buns ","Jam Doughnut ","Celebratory Loaf ",3,"","Least Favorite"
"100","Cathryn_3_8",126,"Cathryn","Cheese and Pickle Crackers","5th","Gingerbread Buckingham Palace",8,"48 Crackers ","6 Chocolate Teacakes ","Gingerbread Structure ",3,"OUT",""
"101","Chetna_5_1",215,"Chetna","Cardamom, Pistachio and Coffee Swiss Roll","3rd","Tiered Victoria Sponges with Lemon Curd and Raspberry Cream",1,"Swiss Roll ","Cherry Cake ","36 Classic Miniature British Cakes ",5,"",""
"102","Chetna_5_2",227,"Chetna","Fenugreek and Carom Crackers","8th","Day On The Beach",2,"36 Savoury Biscuits ","18 Florentines ","3D Biscuit Scene ",5,"",""
"103","Chetna_5_3",238,"Chetna","Onion and Pine Nut Rolls","8th","Rolled and Filled Twin Loaf",3,"12 Rye Bread Rolls ","4 Ciabattas ","Filled Centrepiece Loaf ",5,"",""
"104","Chetna_5_4",248,"Chetna","Rhubarb, Strawberry and Orange Puddings","3rd","Mango, Raspberry and Coconut Baked Alaska",4,"8 Self Saucing Puddings ","Tiramisu Cake ","Baked Alaska ",5,"",""
"105","Chetna_5_5",257,"Chetna","Rice Custard Tart with Mangoes and Raspberries","2nd","Fusion Tiered Pies",5,"Custard Tart ","Mini Pear Pies ","Three Tiered Pie ",5,"",""
"106","Chetna_5_6",264,"Chetna","Orange Savarin with Cinnamon Cream","2nd","Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream",6,"Yeast Leavened Cake ","Prinsesstårta ","Dobos Torte ",5,"SB",""
"107","Chetna_5_7",270,"Chetna","Crispy Lentil Kachori","6th","Chocolate & Mango and Lemon Meringue Éclairs",7,"12 Savoury Parcels ","Kouign Amann ","24 Éclairs ",5,"",""
"108","Chetna_5_8",276,"Chetna","Date and Walnut Swirl Bread","1st","Chocolate Mousse Filled DoughnutsBraided Doughnuts",8,"Fruit Loaf ","Povitica ","36 Doughnuts ",5,"",""
"109","Chetna_5_9",281,"Chetna","Chocolate Orange Baklava Masala Chai Baklava","4th","Chocolate, Orange & Nut EntremetsCappuccino Entremets",9,"24 Baklava ","Schichttorte ","24 Entremets ",5,"OUT",""
"110","Chigs_12_1",745,"Chigs","Strawberries & Cream Mini Rolls","11th","'Where it All Began'",1,"Mini Swiss Roll ","Malt Loaf ","Anti Gravity Illusion Cake ",12,"",""
"111","Chigs_12_10",816,"Chigs","'Take Two'","2nd","Party Treats",10,"Carrot Cake ","12 Belgian Buns ","Mad Hatter Tea Party Display ",12,"Runner-up",""
"112","Chigs_12_2",757,"Chigs","'Espresso Martini' Brandy Snaps","7th","Snooker Table",2,"24 Brandy Snaps ","Sandwiched Jammy Biscuit ","3 D Childhood Toy ",12,"","Favorite"
"113","Chigs_12_3",768,"Chigs","Spanish Cheesy Meaty Focaccia","6th","Honey Milk Bread Picnic Basket",3,"Focaccia ","15 Cheese and Onion Ciabatta Breadsticks ","Themed Milk Bread Display ",12,"",""
"114","Chigs_12_4",778,"Chigs","Tropical Pavlova","3rd","Black Forest Imprime Dessert",4,"Pavlova ","4 Sticky Toffee Pudding ","Joconde Imprime Dessert ",12,"SB",""
"115","Chigs_12_5",787,"Chigs","Marzipan Hausefreunde & Almond Mandelhörnchen","2nd","Lemon & Mixed Peel Cake",5,"24 German Biscuits ","Prinzregententorte ","Yeast Leavened Cake ",12,"",""
"116","Chigs_12_6",795,"Chigs","'Oo La La Chouxnuts'","3rd","'Leicester Pork Pie'",6," Chouxnuts ","Large Baklava ","Terrine pie ",12,"",""
"117","Chigs_12_7",801,"Chigs","Chocolate, Coconut & Ginger Caramel Tart","3rd","'Caramel Mistake'",7,"Caramel Tart ","10 Caramel Biscuit Bars ","Domed or Sphered Caramel Dessert ",12,"","Favorite"
"118","Chigs_12_8",807,"Chigs","Mum's Tropical Delight","1st","Gluten-free Red Velvet Cake",8,"8 Dairy free Iced Cream Sandwiches ","8 Vegan Sausage Rolls ","Gluten free Celebration Cake ",12,"SB",""
"119","Chigs_12_9",812,"Chigs","Raspberry & Chocolate Slices","4th","'The Apple Doesn't Fall Far from the Tree'",9,"8 Pâtisserie Style Layered Slices ","Sablé Breton Tart ","Themed Banquet Display ",12,"","Favorite"
"120","Chris_8_1",438,"Chris","Tropical Fresh Fruit Cake","12th","'Raised Pork Pie and Egg Surprise' Cake",1,"Fruity Cake ","12 Chocolate Mini Rolls ","Illusion Cake ",8,"","Least Favorite"
"121","Chris_8_2",450,"Chris","Chocolate Chia Seed Biscuits with Whisky Caramel Filling","11th","'The Great British Sail Off' Game",2,"24 Sandwich Biscuits ","12 Fortune Cookies ","Biscuit Board Games ",8,"OUT",""
"122","Christine_4_1",139,"Christine","Strawberry, Vanilla and Rosewater Summer Basket","3rd","Chocolate and Orange 'Fripperous' Hat Cake",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ",4,"",""
"123","Christine_4_2",152,"Christine","Mediterranean Breadsticks with Oregano","4th","Double Plaited Loaf",2,"36 Bread Sticks ","8 English Muffins ","Decorative Loaf ",4,"",""
"124","Christine_4_3",164,"Christine","Caribbean Pina Colada Trifle","4th","Ninety-NinersSachertorte Parcels",3,"Trifle ","Floating Islands ","24 Petit Fours  12 Biscuit based  12 Sponge based ",4,"SB",""
"125","Christine_4_4",175,"Christine","Granny Rogers' Apple, Plum & Cinnamon Country Pie","7th","Roasted Vegetable Filo Pie with Feta Cheese",4,"Double Crusted Fruit Pie ","12 Egg Custard Tarts ","Filo Pie ",4,"",""
"126","Christine_4_5",183,"Christine","Mixed Berry and Almond Crumble Traybake","1st","Shortbread Bavarian Clock Tower",5,"Traybake ","18 Tuiles  9 Original  9 Dipped in Chocolate ","Biscuit Tower ",4,"SB",""
"127","Christine_4_6",191,"Christine","Oxford Nutty Fruit Loaf","4th","Schnecken BunsVanilla Custard Skolebrød",6,"Tea Loaf ","Apricot Couronne ","24 Sweet European Buns ",4,"",""
